tenure_months,monthly_charge,total_charges,support_tickets,late_payments,avg_monthly_usage_gb,contract_type,payment_method,internet_service,has_streaming,has_security_pack,num_products,region,customer_age,is_promo
22,66.79,1469.38,1,0,122.46,mensual,credito,movil,1,1,3,centro,46,1
31,72.48,2246.88,2,0,33.13,mensual,debito,movil,1,1,1,centro,19,1
1,71.05,71.05,3,5,179.72,mensual,credito,movil,0,1,2,sur,74,0
10,91.71,917.1,2,1,150.21,mensual,transferencia,fibra,1,1,4,oeste,43,0
31,99.18,3074.58,2,2,151.01,bianual,transferencia,cable,1,0,1,oeste,18,1
33,72.28,2385.24,0,1,73.16,bianual,credito,movil,1,1,3,norte,44,0
9,34.76,312.84,3,1,178.54,mensual,credito,fibra,0,0,2,norte,76,0
22,77.65,1708.3,2,3,43.32,bianual,debito,fibra,1,1,1,centro,40,0
53,79.05,4189.65,2,3,43.01,bianual,credito,fibra,0,0,2,centro,74,0
11,77.97,857.67,2,0,180.13,mensual,debito,fibra,1,0,1,centro,52,0
11,80.96,890.56,2,3,148.11,anual,credito,fibra,1,1,4,norte,61,1
3,58.67,176.01,1,1,154.66,bianual,debito,fibra,1,1,1,oeste,73,0
45,61.84,2782.8,2,1,117.53,mensual,credito,movil,1,1,2,norte,52,1
21,70.04,1470.84,3,0,143.22,bianual,credito,fibra,1,1,3,sur,38,0
7,89.7,627.9,0,2,89.46,bianual,debito,movil,0,0,3,norte,37,0
30,78.04,2341.2,1,2,129.09,mensual,transferencia,fibra,1,1,3,centro,63,0
21,66.47,1395.87,3,1,193.68,mensual,credito,fibra,1,0,3,centro,33,1
1,72.34,72.34,1,2,66.75,anual,transferencia,ninguno,1,0,1,centro,32,1
17,74.77,1271.09,4,1,114.95,mensual,credito,fibra,1,1,4,centro,37,0
2,63.42,126.84,0,1,128.35,anual,transferencia,fibra,1,1,4,norte,53,0
39,89.45,3488.55,5,1,166.4,anual,efectivo,fibra,1,1,4,centro,58,1
10,81.34,813.4,0,0,36.46,mensual,credito,movil,0,0,1,centro,57,1
55,119.08,6549.4,1,1,119.06,anual,transferencia,fibra,1,1,3,sur,41,1
17,111.42,1894.14,1,1,158.78,bianual,debito,cable,0,1,1,sur,41,0
41,88.87,3643.67,1,2,191.52,mensual,credito,fibra,1,0,2,oeste,20,1
25,62.83,1570.75,2,0,157.1,mensual,efectivo,ninguno,0,0,1,centro,30,0
16,110.63,1770.08,2,2,163.59,anual,transferencia,ninguno,1,0,1,oeste,73,0
6,21.84,131.04,0,0,196.54,mensual,transferencia,fibra,1,1,3,sur,65,1
4,53.72,214.88,1,5,82.86,anual,credito,fibra,0,1,1,oeste,18,1
11,85.37,939.07,1,2,165.47,mensual,efectivo,movil,1,1,4,norte,73,1
11,78.98,868.78,0,0,158.59,mensual,credito,fibra,1,1,1,oeste,42,0
20,102.14,2042.8,2,3,169.04,mensual,debito,fibra,1,0,2,sur,64,0
39,66.48,2592.72,2,0,70.82,anual,credito,fibra,0,1,3,centro,42,1
33,127.55,4209.15,1,1,84.1,anual,credito,fibra,0,0,3,centro,22,1
1,65.04,65.04,1,4,91.8,anual,credito,fibra,1,1,2,norte,57,0
9,60.56,545.04,1,3,237.18,mensual,credito,fibra,1,1,4,centro,43,0
31,80.35,2490.85,1,1,122.62,mensual,credito,cable,1,1,4,sur,40,1
37,91.64,3390.68,1,3,151.33,anual,transferencia,fibra,0,1,3,norte,72,1
12,67.51,810.12,1,3,115.39,mensual,transferencia,fibra,1,1,2,oeste,27,0
16,90.12,1441.92,0,1,99.92,bianual,credito,fibra,0,1,3,centro,75,0
20,92.38,1847.6,5,0,187.88,anual,debito,fibra,1,1,2,centro,20,1
22,41.61,915.42,1,3,179.43,mensual,credito,movil,0,0,1,centro,55,1
56,52.77,2955.12,2,3,60.47,anual,transferencia,fibra,1,0,3,centro,22,0
30,96.97,2909.1,6,0,113.46,bianual,debito,fibra,1,0,3,norte,61,1
43,66.69,2867.67,2,1,164.69,mensual,transferencia,ninguno,1,1,4,centro,59,0
26,60.0,1560.0,2,2,25.05,bianual,debito,cable,0,1,3,norte,64,0
30,66.77,2003.1,3,1,12.21,anual,transferencia,fibra,1,0,2,centro,64,0
2,58.6,117.2,3,4,69.55,mensual,credito,fibra,1,0,4,oeste,52,0
7,58.48,409.36,1,1,120.62,mensual,credito,fibra,1,1,4,centro,55,0
35,92.77,3246.95,1,0,118.39,mensual,transferencia,fibra,1,0,1,oeste,72,0
7,64.87,454.09,2,2,123.96,anual,debito,fibra,1,1,1,norte,76,0
42,94.9,3985.8,3,2,106.74,bianual,credito,cable,1,0,2,centro,50,0
1,62.97,62.97,3,3,105.33,mensual,transferencia,fibra,1,1,3,oeste,63,1
23,99.92,2298.16,0,1,129.26,bianual,debito,fibra,1,1,1,centro,48,0
4,54.58,218.32,4,3,85.19,anual,transferencia,cable,1,0,1,centro,34,0
27,62.31,1682.37,0,0,65.86,mensual,debito,fibra,1,0,1,norte,55,0
36,95.64,3443.04,2,0,59.07,anual,transferencia,movil,1,1,1,oeste,67,0
18,57.78,1040.04,1,0,131.57,mensual,efectivo,cable,1,1,1,sur,64,1
44,80.16,3527.04,2,2,66.48,anual,transferencia,fibra,0,0,1,sur,42,0
30,67.98,2039.4,1,5,167.43,mensual,credito,fibra,1,1,2,norte,77,1
45,66.24,2980.8,5,3,97.45,mensual,efectivo,fibra,1,1,3,centro,51,1
7,71.54,500.78,0,3,158.01,bianual,debito,cable,0,0,3,norte,42,0
30,81.95,2458.5,1,0,122.62,mensual,credito,fibra,1,1,4,sur,40,1
38,123.3,4685.4,4,1,135.78,anual,credito,fibra,0,0,3,sur,66,0
3,54.19,162.57,2,0,128.8,mensual,debito,movil,1,1,1,norte,67,0
23,60.76,1397.48,2,0,45.51,mensual,efectivo,cable,0,0,2,centro,33,0
20,106.17,2123.4,1,2,172.33,mensual,debito,movil,1,0,3,sur,53,0
26,74.03,1924.78,2,2,191.54,anual,credito,fibra,1,1,2,oeste,34,0
36,76.52,2754.72,1,0,186.06,anual,debito,fibra,1,1,3,norte,27,0
15,104.61,1569.15,1,0,64.22,bianual,efectivo,fibra,1,1,4,centro,41,0
45,84.23,3790.35,2,1,5.0,bianual,credito,fibra,1,1,2,oeste,74,0
52,67.98,3534.96,1,1,138.97,mensual,debito,fibra,0,1,1,norte,45,0
19,62.1,1179.9,4,0,148.77,anual,debito,fibra,0,1,3,centro,56,0
16,73.32,1173.12,1,0,169.35,bianual,debito,fibra,0,1,2,centro,53,0
8,73.98,591.84,1,1,5.0,mensual,credito,movil,1,1,2,centro,33,0
22,76.67,1686.74,1,0,148.5,bianual,transferencia,fibra,1,0,3,centro,43,0
4,71.73,286.92,0,2,45.78,anual,debito,fibra,0,1,4,norte,78,0
26,78.06,2029.56,1,0,94.43,bianual,debito,fibra,1,0,1,centro,38,0
48,81.5,3912.0,3,4,95.83,anual,credito,cable,1,1,4,oeste,44,0
43,89.71,3857.53,3,2,119.03,anual,efectivo,fibra,1,0,1,centro,25,0
30,111.53,3345.9,2,1,119.23,mensual,credito,fibra,1,1,2,sur,63,0
8,67.06,536.48,2,2,91.16,mensual,credito,cable,1,1,4,centro,28,1
35,76.4,2674.0,2,0,59.42,mensual,debito,fibra,0,0,3,oeste,75,0
22,78.29,1722.38,0,2,198.12,mensual,credito,fibra,1,1,1,oeste,30,0
49,87.61,4292.89,2,0,104.89,anual,credito,movil,1,0,2,sur,78,0
19,106.89,2030.91,4,2,188.89,anual,debito,fibra,1,0,2,oeste,65,1
36,60.1,2163.6,2,0,121.45,mensual,credito,fibra,0,0,2,centro,35,0
15,63.52,952.8,5,0,192.93,mensual,credito,fibra,0,0,2,sur,59,0
31,73.08,2265.48,2,0,163.4,anual,credito,fibra,0,0,3,oeste,51,1
49,77.44,3794.56,0,2,10.33,anual,debito,cable,1,1,3,oeste,70,0
12,96.49,1157.88,4,0,118.29,anual,credito,fibra,0,1,4,oeste,56,1
4,110.88,443.52,3,1,225.33,bianual,credito,fibra,1,1,4,norte,67,1
39,82.21,3206.19,1,4,86.53,anual,debito,cable,1,1,1,centro,33,1
3,85.64,256.92,1,1,130.14,mensual,credito,fibra,1,1,4,oeste,32,1
6,85.12,510.72,1,1,118.5,mensual,debito,ninguno,1,0,4,oeste,50,0
10,93.56,935.6,1,0,86.2,anual,debito,movil,1,1,2,sur,46,0
36,47.54,1711.44,1,1,84.43,mensual,credito,fibra,1,1,2,norte,19,0
25,67.48,1687.0,3,2,166.58,mensual,debito,fibra,1,0,1,norte,63,0
49,55.05,2697.45,2,1,147.7,mensual,credito,cable,0,0,3,oeste,62,0
5,92.42,462.1,5,1,30.88,mensual,transferencia,movil,1,0,4,sur,20,0
22,79.4,1746.8,4,3,29.61,mensual,efectivo,fibra,0,1,1,norte,67,0
29,78.02,2262.58,0,0,135.53,mensual,debito,cable,1,1,1,centro,21,1
26,91.4,2376.4,2,1,99.65,anual,credito,movil,1,1,2,oeste,25,0
38,58.19,2211.22,2,2,156.3,anual,credito,movil,0,0,3,oeste,65,0
34,78.17,2657.78,2,2,90.26,anual,debito,fibra,1,0,1,oeste,34,0
52,80.95,4209.4,2,1,108.99,mensual,transferencia,cable,1,0,1,centro,38,1
32,46.89,1500.48,0,2,175.32,anual,debito,fibra,0,0,4,centro,37,1
6,87.69,526.14,2,1,128.2,anual,debito,cable,1,0,3,centro,67,1
24,68.62,1646.88,2,4,97.26,bianual,debito,cable,0,0,1,sur,43,0
15,55.15,827.25,3,2,218.32,mensual,debito,fibra,0,1,1,sur,52,1
51,117.33,5983.83,1,1,131.32,mensual,transferencia,fibra,1,1,4,centro,69,0
15,99.23,1488.45,1,1,71.51,anual,transferencia,fibra,1,1,1,norte,50,1
5,91.64,458.2,0,2,64.95,mensual,debito,fibra,0,1,3,sur,25,1
45,69.85,3143.25,3,0,125.26,mensual,credito,movil,1,0,3,oeste,58,0
23,59.75,1374.25,3,4,86.19,anual,transferencia,fibra,1,0,4,centro,61,0
46,46.2,2125.2,1,1,164.09,anual,debito,fibra,0,0,3,centro,26,1
44,70.47,3100.68,0,1,118.44,anual,efectivo,fibra,0,0,3,centro,43,0
20,98.42,1968.4,1,3,146.83,mensual,efectivo,fibra,1,1,3,norte,19,0
45,79.59,3581.55,3,2,53.15,mensual,transferencia,fibra,1,0,3,centro,36,1
21,109.43,2298.03,2,1,123.2,mensual,debito,fibra,1,1,3,oeste,70,0
21,53.26,1118.46,1,1,101.8,anual,debito,ninguno,1,0,1,sur,38,0
22,85.05,1871.1,1,0,155.91,mensual,transferencia,fibra,1,0,4,oeste,44,1
55,102.54,5639.7,3,1,99.76,anual,credito,movil,1,1,4,oeste,64,1
8,106.61,852.88,1,0,91.06,anual,credito,fibra,1,1,4,centro,54,1
41,59.89,2455.49,4,1,117.35,mensual,debito,fibra,1,1,4,sur,46,0
50,66.29,3314.5,1,3,103.55,bianual,debito,fibra,1,1,4,oeste,34,0
4,72.33,289.32,1,1,68.87,bianual,credito,fibra,0,1,1,sur,22,0
26,67.42,1752.92,2,3,163.72,mensual,debito,fibra,0,0,4,sur,28,0
37,109.06,4035.22,2,2,171.08,mensual,debito,fibra,0,1,1,centro,24,0
25,58.55,1463.75,0,4,84.13,bianual,debito,cable,1,1,1,norte,73,0
58,61.43,3562.94,3,2,147.93,bianual,debito,fibra,1,1,3,oeste,29,0
2,87.56,175.12,1,1,35.72,mensual,credito,fibra,1,0,4,oeste,60,0
29,80.61,2337.69,1,1,103.5,anual,debito,ninguno,1,1,1,sur,49,1
23,69.41,1596.43,0,0,103.85,mensual,transferencia,fibra,0,0,3,sur,76,0
38,69.81,2652.78,2,1,29.44,mensual,debito,movil,1,1,1,centro,41,1
37,52.84,1955.08,0,1,104.13,mensual,credito,movil,0,1,1,centro,73,0
1,51.01,51.01,2,2,108.36,anual,credito,fibra,1,1,1,centro,33,0
48,72.97,3502.56,5,1,119.85,bianual,debito,movil,0,1,1,norte,44,1
26,67.16,1746.16,1,2,45.64,bianual,debito,cable,1,1,4,centro,70,0
20,90.92,1818.4,1,2,82.52,anual,credito,fibra,1,0,3,sur,60,0
31,60.09,1862.79,2,1,25.05,bianual,debito,fibra,0,1,3,norte,64,0
21,61.98,1301.58,2,1,121.92,mensual,transferencia,fibra,1,1,2,sur,20,0
50,68.23,3411.5,4,1,134.01,bianual,debito,cable,1,1,4,norte,70,0
50,45.27,2263.5,1,0,73.2,mensual,debito,fibra,1,1,1,oeste,40,0
47,71.16,3344.52,2,1,147.43,bianual,efectivo,fibra,1,0,2,centro,28,0
27,96.21,2597.67,1,4,158.19,mensual,transferencia,fibra,1,1,2,centro,53,1
30,76.56,2296.8,2,1,88.64,bianual,debito,fibra,1,0,2,centro,19,0
27,71.52,1931.04,2,1,81.97,bianual,credito,ninguno,1,0,2,centro,30,1
29,73.53,2132.37,3,2,60.71,mensual,transferencia,fibra,0,1,1,sur,52,1
49,78.42,3842.58,5,1,93.03,bianual,debito,fibra,1,1,4,centro,63,0
41,87.5,3587.5,0,3,143.36,mensual,efectivo,ninguno,0,0,3,oeste,70,1
48,66.72,3202.56,3,1,68.69,mensual,credito,movil,1,1,3,centro,58,1
23,51.15,1176.45,0,3,91.8,anual,debito,ninguno,1,0,1,norte,23,0
11,67.49,742.39,2,2,178.3,mensual,debito,fibra,1,0,3,oeste,45,1
57,120.39,6862.23,1,1,59.74,bianual,credito,cable,0,0,2,sur,25,1
19,91.79,1744.01,2,2,117.84,mensual,debito,fibra,0,0,2,centro,38,1
41,88.02,3608.82,1,3,175.35,mensual,debito,fibra,1,1,1,norte,24,1
46,70.22,3230.12,2,1,43.49,mensual,credito,fibra,1,0,2,centro,43,0
33,91.0,3003.0,2,1,213.93,bianual,transferencia,fibra,0,0,1,oeste,18,0
29,55.58,1611.82,1,2,72.37,anual,efectivo,fibra,1,1,1,oeste,33,0
18,109.62,1973.16,1,3,239.02,bianual,debito,movil,1,1,4,norte,26,1
30,85.74,2572.2,1,0,70.28,anual,credito,movil,0,0,1,norte,28,1
23,17.84,410.32,1,4,167.6,mensual,efectivo,movil,1,0,3,sur,51,1
2,123.4,246.8,2,1,216.24,anual,credito,fibra,1,0,1,norte,62,0
39,30.44,1187.16,2,3,108.07,mensual,credito,ninguno,0,1,3,oeste,19,1
25,100.25,2506.25,2,2,131.67,mensual,credito,movil,1,0,2,sur,20,1
4,110.43,441.72,1,0,73.95,anual,debito,fibra,1,0,2,oeste,30,1
7,67.72,474.04,1,1,188.9,mensual,debito,fibra,1,0,2,sur,75,1
39,80.99,3158.61,0,1,184.87,anual,credito,cable,0,1,4,centro,49,0
42,95.15,3996.3,6,0,113.46,bianual,debito,fibra,1,0,3,norte,61,1
41,41.39,1696.99,0,0,47.62,bianual,credito,movil,1,1,4,sur,61,0
49,111.14,5445.86,1,2,136.23,anual,debito,cable,1,1,2,sur,45,0
43,56.82,2443.26,2,3,158.1,mensual,transferencia,movil,1,0,1,centro,56,0
36,56.38,2029.68,4,2,128.19,mensual,credito,ninguno,1,1,1,oeste,18,0
49,99.93,4896.57,3,2,5.0,anual,debito,cable,1,1,2,centro,31,0
51,61.44,3133.44,3,3,158.88,mensual,debito,fibra,0,0,2,sur,50,0
40,93.86,3754.4,2,4,90.51,anual,credito,fibra,1,0,3,sur,78,0
58,82.37,4777.46,1,3,106.78,mensual,transferencia,cable,1,0,3,sur,67,0
14,64.48,902.72,0,2,121.94,bianual,debito,ninguno,0,1,1,centro,48,0
45,68.01,3060.45,1,1,130.85,anual,efectivo,movil,1,0,2,norte,43,1
36,64.58,2324.88,3,1,93.43,mensual,transferencia,cable,1,1,4,oeste,72,0
41,81.86,3356.26,0,2,97.14,mensual,debito,fibra,0,0,4,centro,28,1
26,109.65,2850.9,4,1,139.06,mensual,debito,fibra,0,1,2,centro,42,1
38,63.9,2428.2,5,4,142.26,bianual,efectivo,cable,1,1,2,sur,54,0
23,73.37,1687.51,1,1,141.44,bianual,credito,ninguno,1,1,1,centro,51,1
19,93.42,1774.98,6,1,187.97,bianual,transferencia,movil,1,0,3,sur,34,1
37,42.22,1562.14,2,2,156.95,mensual,credito,movil,1,0,3,norte,57,0
24,65.42,1570.08,3,4,169.09,mensual,debito,fibra,1,1,4,norte,31,1
15,45.83,687.45,1,2,247.4,mensual,debito,movil,1,1,1,centro,19,0
18,73.12,1316.16,1,2,101.61,mensual,credito,fibra,1,1,3,sur,76,0
21,66.59,1398.39,0,1,187.28,mensual,credito,fibra,1,1,1,oeste,36,0
15,94.59,1418.85,1,1,96.64,anual,debito,movil,1,0,2,sur,72,0
43,42.08,1809.44,1,5,175.33,mensual,debito,cable,0,0,2,oeste,39,1
7,120.51,843.57,1,1,159.46,anual,credito,fibra,0,0,3,centro,53,0
11,81.39,895.29,2,0,141.94,anual,debito,fibra,1,0,1,sur,38,0
33,87.6,2890.8,1,0,181.0,bianual,debito,cable,0,0,1,centro,25,0
19,64.06,1217.14,1,2,112.08,mensual,credito,fibra,0,1,3,norte,78,0
48,40.88,1962.24,3,1,184.98,mensual,credito,fibra,1,1,3,centro,78,0
24,57.01,1368.24,1,1,116.4,mensual,credito,fibra,1,1,4,centro,44,0
40,76.99,3079.6,3,1,178.34,mensual,debito,fibra,0,0,4,sur,41,0
50,56.77,2838.5,0,1,177.46,mensual,credito,fibra,1,1,4,oeste,44,1
36,79.41,2858.76,2,2,194.17,bianual,credito,fibra,1,0,3,sur,76,1
4,72.62,290.48,3,0,161.53,mensual,transferencia,movil,1,0,4,sur,52,0
4,50.91,203.64,0,3,136.64,mensual,transferencia,fibra,1,0,3,sur,58,0
39,34.35,1339.65,1,1,79.85,anual,credito,movil,1,0,2,sur,62,0
21,65.42,1373.82,3,1,127.23,mensual,transferencia,fibra,1,1,4,sur,37,1
2,89.84,179.68,4,2,97.22,bianual,transferencia,movil,1,1,3,sur,19,1
47,82.49,3877.03,0,0,59.58,anual,debito,movil,1,0,2,norte,78,0
34,75.52,2567.68,4,1,188.68,anual,transferencia,fibra,1,0,1,centro,35,0
11,64.35,707.85,1,0,39.11,bianual,credito,fibra,1,1,4,norte,47,1
15,87.8,1317.0,1,0,161.57,bianual,credito,fibra,0,1,2,sur,65,1
8,78.8,630.4,1,1,137.13,mensual,transferencia,fibra,1,0,2,centro,62,1
40,73.59,2943.6,3,1,105.1,anual,transferencia,cable,0,1,2,oeste,67,0
57,60.97,3475.29,1,2,168.87,mensual,credito,fibra,0,1,3,oeste,69,1
39,75.24,2934.36,2,0,138.7,mensual,debito,fibra,0,0,2,oeste,43,1
3,63.29,189.87,3,1,120.48,bianual,credito,fibra,0,1,2,norte,31,0
15,71.25,1068.75,3,2,165.17,mensual,debito,fibra,0,0,2,norte,64,1
3,101.81,305.43,2,6,96.17,anual,credito,fibra,0,1,4,centro,65,1
13,59.48,773.24,1,2,74.55,mensual,transferencia,movil,1,0,3,centro,22,0
12,100.86,1210.32,3,4,100.19,anual,debito,movil,0,0,3,sur,34,0
54,61.72,3332.88,3,3,90.29,bianual,debito,fibra,0,0,4,oeste,60,0
32,91.46,2926.72,3,2,79.28,mensual,transferencia,fibra,1,0,3,sur,40,1
24,85.38,2049.12,0,1,118.64,mensual,transferencia,movil,1,1,3,oeste,41,1
26,54.9,1427.4,0,1,114.43,mensual,credito,movil,1,0,4,oeste,19,0
26,33.56,872.56,0,1,5.0,anual,efectivo,movil,0,0,2,sur,24,0
37,95.21,3522.77,4,1,62.43,bianual,debito,cable,1,0,1,centro,35,1
10,68.73,687.3,5,3,64.6,bianual,efectivo,cable,0,1,3,centro,66,1
16,105.28,1684.48,1,0,94.15,anual,credito,fibra,1,1,1,norte,20,0
37,86.7,3207.9,0,1,115.23,mensual,credito,fibra,1,1,2,centro,72,0
14,38.87,544.18,2,2,51.91,mensual,debito,ninguno,1,0,3,sur,75,1
43,66.93,2877.99,2,1,164.69,mensual,transferencia,ninguno,1,1,4,centro,59,0
15,41.96,629.4,1,0,188.37,mensual,transferencia,cable,1,0,1,sur,74,0
27,58.27,1573.29,2,1,74.42,mensual,credito,fibra,1,1,4,norte,22,0
17,84.22,1431.74,1,1,191.07,bianual,debito,fibra,1,0,2,centro,73,0
27,42.65,1151.55,3,1,136.76,mensual,efectivo,ninguno,1,0,3,sur,40,1
13,58.1,755.3,3,1,209.47,mensual,debito,fibra,1,1,2,sur,78,1
5,61.96,309.8,0,3,172.55,bianual,transferencia,fibra,1,0,2,sur,54,0
40,68.16,2726.4,2,1,43.48,bianual,debito,fibra,1,1,4,oeste,25,0
33,66.9,2207.7,2,1,60.68,anual,debito,movil,1,0,1,centro,28,1
9,48.04,432.36,6,0,114.59,mensual,debito,movil,1,1,2,oeste,27,1
14,100.01,1400.14,0,2,174.14,anual,credito,fibra,1,0,4,norte,41,1
25,94.66,2366.5,3,2,122.69,mensual,debito,movil,1,1,4,oeste,65,0
52,71.55,3720.6,3,2,233.89,mensual,debito,movil,1,0,2,centro,51,0
39,68.18,2659.02,0,1,105.84,mensual,debito,movil,0,1,2,norte,49,1
7,76.44,535.08,2,1,91.27,anual,transferencia,fibra,0,0,2,norte,29,0
3,74.46,223.38,1,2,239.47,mensual,credito,movil,1,0,4,centro,50,1
56,62.27,3487.12,0,2,212.49,mensual,transferencia,fibra,1,1,4,sur,18,0
47,87.57,4115.79,4,0,110.99,mensual,transferencia,fibra,1,1,3,sur,39,1
32,86.66,2773.12,2,1,5.0,mensual,credito,movil,1,0,2,centro,23,1
4,118.78,475.12,0,2,176.59,mensual,efectivo,movil,0,0,3,norte,41,0
6,54.11,324.66,1,0,88.96,bianual,credito,ninguno,1,1,2,centro,57,0
15,46.66,699.9,0,2,153.78,anual,efectivo,movil,0,0,3,norte,40,0
31,81.12,2514.72,1,2,103.5,anual,debito,ninguno,1,1,1,sur,49,1
38,94.5,3591.0,1,1,112.64,bianual,efectivo,cable,0,1,2,norte,44,1
1,54.2,54.2,2,2,140.68,mensual,debito,fibra,1,1,1,oeste,41,0
37,98.85,3657.45,2,0,128.11,mensual,efectivo,fibra,0,0,2,norte,45,1
9,115.16,1036.44,4,0,181.37,mensual,debito,fibra,1,1,2,oeste,21,1
27,70.26,1897.02,2,4,150.26,mensual,credito,fibra,0,1,1,norte,60,0
8,61.33,490.64,2,1,157.21,mensual,credito,movil,1,0,4,sur,28,0
21,46.85,983.85,3,3,180.17,bianual,transferencia,fibra,0,0,4,centro,21,0
30,89.2,2676.0,0,0,193.42,bianual,transferencia,fibra,1,1,3,oeste,74,1
6,65.28,391.68,3,2,117.95,anual,debito,cable,1,1,4,sur,28,0
23,47.23,1086.29,3,3,128.23,mensual,transferencia,fibra,1,0,1,centro,23,0
54,128.22,6923.88,2,5,94.42,anual,transferencia,cable,1,0,3,centro,37,0
24,35.33,847.92,1,4,80.38,mensual,debito,fibra,1,0,4,oeste,30,0
39,62.52,2438.28,3,2,153.36,mensual,credito,fibra,1,0,2,centro,78,1
27,71.46,1929.42,2,5,168.34,mensual,transferencia,fibra,0,1,4,oeste,37,0
33,65.84,2172.72,1,2,97.65,mensual,credito,fibra,1,0,2,centro,32,0
7,83.86,587.02,0,2,129.79,mensual,transferencia,fibra,1,1,1,norte,69,0
17,20.5,348.5,3,1,74.99,anual,transferencia,fibra,1,1,3,centro,46,0
6,56.85,341.1,0,1,78.2,anual,debito,cable,1,0,3,oeste,30,0
23,92.57,2129.11,2,1,173.43,mensual,transferencia,fibra,1,1,1,centro,48,0
33,71.73,2367.09,1,3,94.6,mensual,debito,fibra,1,0,1,sur,75,1
18,103.76,1867.68,0,2,142.53,anual,debito,fibra,1,1,3,centro,25,0
54,67.24,3630.96,2,2,217.82,mensual,credito,cable,1,1,3,oeste,74,1
12,79.6,955.2,2,2,188.26,mensual,debito,fibra,0,1,3,centro,36,1
